"Objet","Début","Début","Fin","Fin","Catégories"
"réunion équipe","4/10/2022","14:00:00","4/10/2022","16:00:00","Réunion-Entretien"
"réunion équipe","11/10/2022","14:00:00","11/10/2022","16:00:00","Réunion-Entretien"
"réunion équipe","15/11/2022","14:00:00","15/11/2022","16:00:00","Réunion-Entretien"
"réunion équipe","15/11/2022","14:00:00","15/11/2022","16:00:00","Réunion-Entretien"
"réunion équipe","1/11/2022","14:00:00","1/11/2022","16:00:00","Réunion-Entretien"
"PRESENTATION LANCEMENT PROJET JEUNESSE","10/10/2022","14:00:00","10/10/2022","16:30:00","Réunion-Entretien"
"Sélection candidatures GZG","3/10/2022","10:00:00","3/10/2022","12:30:00","Action jeunesse"
"prépa anim MFR","4/10/2022","10:00:00","4/10/2022","11:00:00","Animation-Stand"
"RDV Point CHRO","4/10/2022","09:00:00","4/10/2022","09:30:00","Réunion-Entretien"
"Férié","1/11/2022","00:00:00","2/11/2022","00:00:00"
"POINT D'ORGANISATION SERD CAMPUS","17/10/2022","10:00:00","17/10/2022","11:00:00","Réunion-Entretien"
"Prépa animation JANE","12/10/2022","14:00:00","12/10/2022","15:00:00","Animation-Stand"
"Imprimer com MJC","3/10/2022","09:00:00","3/10/2022","09:30:00","Administratif/communication"
"Dépôt com ","3/10/2022","14:00:00","3/10/2022","15:00:00","Action terrain"
"Troc vide jardin","15/10/2022","08:00:00","15/10/2022","18:00:00","Animation-Stand"
"échanges ambassadeur du tri","21/10/2022","09:00:00","21/10/2022","10:30:00","Administratif/communication"
"Forum quartier Orléans La Source","19/10/2022","16:00:00","19/10/2022","20:00:00","Animation-Stand"
"visite UTOM","28/10/2022","08:30:00","28/10/2022","12:00:00","UTOM"
"Journée de l'éducation 2022","24/10/2022","09:00:00","24/10/2022","12:00:00","Animation-Stand"
"JANE 2022","13/10/2022","16:00:00","13/10/2022","20:00:00","Animation-Stand"
"Animation Excape Game","5/10/2022","10:00:00","5/10/2022","12:30:00","Animation-Stand"
"Ville Transition","8/10/2022","10:00:00","8/10/2022","18:00:00","Animation-Stand"
"Relance M. Bournonville","3/10/2022","00:00:00","4/10/2022","00:00:00","Campus exemplaire"
"Action terrain","3/10/2022","15:00:00","3/10/2022","16:00:00","Action terrain"
"Prépa anim","6/10/2022","16:00:00","6/10/2022","16:30:00","Animation-Stand"
"Préparation RDV coach/établissement + planification GZG","6/10/2022","14:00:00","6/10/2022","16:00:00","Action jeunesse"
"Installation composteur ","18/10/2022","10:00:00","18/10/2022","12:00:00","Action terrain"
"Administratif","3/10/2022","09:30:00","3/10/2022","10:00:00","Administratif/communication"
"Mails","3/10/2022","08:30:00","3/10/2022","09:00:00","Administratif/communication"
"petit point gzg","5/10/2022","11:00:00","5/10/2022","11:30:00","Action jeunesse"
"Créer jeu","5/10/2022","14:00:00","5/10/2022","15:00:00","Administratif/communication"
"Administratif","3/10/2022","16:00:00","3/10/2022","17:00:00","Administratif/communication"
"voir Franck pour retours terrain/Bolière","5/10/2022","09:00:00","5/10/2022","09:30:00","Administratif/communication"
"Réponse mail Bolière/Renan","5/10/2022","09:00:00","5/10/2022","09:30:00","Administratif/communication"
"Mails","5/10/2022","09:30:00","5/10/2022","10:00:00","Administratif/communication"
"Mails","5/10/2022","08:30:00","5/10/2022","09:00:00","Administratif/communication"
"Créer fiches question ","7/10/2022","09:00:00","7/10/2022","10:30:00","Administratif/communication"
"Action terrain","6/10/2022","10:00:00","6/10/2022","12:00:00","Action terrain"
